nationality,artist_count
,10449
American,4295
German,788
British,710
French,689
Italian,426
Japanese,421
Russian,251
Swiss,247
Dutch,236
Austrian,177
Canadian,174
Spanish,155
Brazilian,142
Mexican,138
Polish,126
Argentine,113
Swedish,97
Belgian,95
Danish,89
Chinese,84
Romanian,68
Venezuelan,66
South African,66
Czech,66
Australian,65
Colombian,62
Hungarian,61
Israeli,59
Chilean,58
Finnish,50
Cuban,50
Indian,48
Portuguese,45
Norwegian,42
Ukrainian,34
Peruvian,34
Greek,32
Croatian,32
Armenian,28
Turkish,28
Korean,25
Uruguayan,21
Iranian,20
Slovenian,19
Irish,19
"American, German",17
 (,15
Haitian,14
New Zealander,14
Nigerian,13
Argentinean,13
Icelandic,12
Native American,12
Serbian,12
Scottish,10
Puerto Rican,10
Canadian Inuit,9
"American, Canadian",8
"Jewish, Romanian",8
"French, American",8
South Korean,7
 (American,7
"American, Jewish",7
Bulgarian,7
Guatemalan,7
Lebanese,7
Georgian,7
Moroccan,7
Slovak,7
Egyptian,7
"French, Jewish, Romanian",6
Congolese,6
Ecuadorian,6
Vietnamese,6
"Italian, American",6
"American, Armenian",6
"French, Belgian",6
Filipino,6
"French, Romanian",6
"Jewish, German",5
"Russian, Jewish",5
Macedonian,5
"French, Swiss",5
Bolivian,5
Pakistani,5
"Jewish, Hungarian",5
 (Swiss,5
"Russian, Ukrainian",5
Panamanian,4
Kenyan,4
Lithuanian,4
"British, Australian",4
Flemish,4
"American, Japanese",4
Bangladeshi,4
Taiwanese,4
Senegalese,4
Sudanese,4
Bosnian,4
"French, Polish",4
Ethiopian,4
"American, Greek",4
"British, Irish",4
"American, Latvian",4
"British, Canadian",4
"French, Jewish",4
Zimbabwean,4
Iranians,4
 (Russian,4
"French, German",4
 (Italian,4
Syrian,3
"Ukrainian, Russian",3
"Hungarian, Romanian",3
"German, American",3
"French, British",3
"French, Russian",3
Albanian,3
Welsh,3
 (British,3
"American, Chinese",3
"French, Hungarian",3
Cameroonian,3
Indonesian,3
Palestinian,3
"American, Polish",3
"Austrian, German",3
Luxembourger,3
Jamaican,3
Algerian,3
Iraqi,3
"French, Chinese",3
Latvian,3
"German, Polish",2
"American, Mexican",2
"French, Japanese",2
"Italian, French",2
"American, Ukrainian",2
Malian,2
"Belarusian, Jewish",2
Emirati,2
Thai,2
Azerbaijani,2
Salvadoran,2
Estonian,2
