artist,nationality,citizenship,gender,birth_year,death_year,birth_place,death_place,movement,occupation,painting_school,influenced_by,influenced_on,pupils,teachers,friends_and_coworkers
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,visual artist,,,,Gerbrand van den Eeckhout,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,art collector,,,,Gerbrand van den Eeckhout,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,etcher,,,,Gerbrand van den Eeckhout,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,printmaker,,,,Gerbrand van den Eeckhout,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,draftsperson,,,,Gerbrand van den Eeckhout,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,painter,,,,Govert Flinck,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,collector,,,,Govert Flinck,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,visual artist,,,,Govert Flinck,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,art collector,,,,Govert Flinck,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,etcher,,,,Govert Flinck,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,printmaker,,,,Govert Flinck,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,draftsperson,,,,Govert Flinck,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,painter,,,,Anthonie van Borssom,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,collector,,,,Anthonie van Borssom,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,visual artist,,,,Anthonie van Borssom,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,art collector,,,,Anthonie van Borssom,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,etcher,,,,Anthonie van Borssom,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,printmaker,,,,Anthonie van Borssom,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,draftsperson,,,,Anthonie van Borssom,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,painter,,,,Christopher Paudiß,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,collector,,,,Christopher Paudiß,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,visual artist,,,,Christopher Paudiß,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,art collector,,,,Christopher Paudiß,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,etcher,,,,Christopher Paudiß,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,printmaker,,,,Christopher Paudiß,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,draftsperson,,,,Christopher Paudiß,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,painter,,,,Cornelis Brouwer,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,collector,,,,Cornelis Brouwer,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,visual artist,,,,Cornelis Brouwer,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,art collector,,,,Cornelis Brouwer,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,etcher,,,,Cornelis Brouwer,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,printmaker,,,,Cornelis Brouwer,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,draftsperson,,,,Cornelis Brouwer,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,painter,,,,Jan Victors,,
Rembrandt,Dutch Republic,Dutch Republic,male,1606-07-15T00:00:00Z,1669-10-04T00:00:00Z,Leiden,Amsterdam,Dutch Golden Age painting,collector,,,,Jan Victors,,
