Bracha L. Ettinger,1948,1948,New European Painting
William H. Johnson,1901,1901,Harlem Renaissance (New Negro Movement)
Alexey  Bogolyubov,1824,1824,Romanticism
O. Louis Guglielmi,1906,1906,Social Realism
Mikalojus Konstantinas Ciurlionis,1875,1875,Symbolism
Edward E. Simmons,1852,1852,Impressionism
Robert G. Harris,1911,1911,Poster Art Realism
Friedrich Vordemberge-Gildewart,1899,1899,Abstract Art
Edward R. Taylor,1838,1838,Romanticism
Carl-Ludwig Johann Christineck,1732,1732,Rococo
Friedrich Schroder-Sonnenstern,1892,1892,Outsider art (Art brut)
D. Jeffrey Mims,1954,1954,Classical Realism
Nuno Gonçalves,1425,1425,Early Renaissance
Alexander Khvostenko-Khvostov,1885,1885,Avant-garde
Jose Ferraz de Almeida Junior,1850,1850,Realism
Frank W. Benson,1858,1858,Impressionism
Maria Helena Vieira da Silva,1908,1908,Abstract Art
Jean-Baptiste-Simeon Chardin,1699,1699,Baroque
Eleanor Fortescue-Brickdale,1872,1872,Romanticism
Alexander Bazhbeuk-Melikyan,1891,1891,Expressionism
Georges Ribemont-Dessaignes,1884,1884,Dada
Alexandre-Jacques Chantron,1842,1842,Academic Art
Manuel Rodriguez de Guzman,1818,1818,Romanticism
Rudolf Schweitzer-Cumpana,1886,1886,Impressionism
Andre Dunoyer de Segonzac,1884,1884,Impressionism
Ivan-Valentyn Zadorozhny,1921,1921,Socialist Realism
Anna Ostroumova-Lebedeva,1871,1871,Art Nouveau
Cristovao de Figueiredo,1450,1450,Northern Renaissance
Juan Carreno de Miranda,1614,1614,Baroque
Jorge González Camarena,1908,1908,Muralism
Aladar Korosfoi-Kriesch,1863,1863,Art Nouveau
Giuseppe Pinot-Gallizio,1902,1902,Art Informel
M.F. Husain,1915,1915,Cubism
Nikolay Bogdanov-Belsky,1868,1868,Realism
Iain Baxter&,1936,1936,Conceptual Art
Gerhard von Graevenitz,1934,1934,Kinetic art
Jean-Claude Silbermann,1935,1935,Surrealism
Julius LeBlanc Stewart,1855,1855,Academic Art
Johann Anton de Peters,1725,1725,Rococo
Pierre-Narcisse Guerin,1774,1774,Neoclassicism
Carlos Saenz de Tejada,1897,1897,Expressionism
Albert Rafols-Casamada,1923,1923,Art Informel
Włodzimierz Zakrzewski,1916,1916,Realism
André Lhote,1885,1885,Cubism
Karl Schmidt-Rottluff,1884,1884,Expressionism
Andres de Santa Maria,1860,1860,Impressionism
Theo van Rysselberghe,1862,1862,Neo-Impressionism
Fernando García Ponce,1933,1933,Abstract Art
Inigo Manglano-Ovalle,1961,1961,Post-Minimalism
Richard Pousette-Dart,1916,1916,Abstract Art
Ethel Léontine Gabain,1883,1883,Neo-Romanticism
Charles-Amable Lenoir,1860,1860,Academic Art
Francisco de Zurbaran,1598,1598,Baroque
Pieter van Hanselaere,1786,1786,Neoclassicism
Jean-Honore Fragonard,1732,1732,Rococo
Ion Theodorescu-Sion,1882,1882,Post-Impressionism
Janos Mattis-Teutsch,1884,1884,Constructivism
Apollinary Goravsky,1833,1833,Romanticism
Edouard Debat-Ponsan,1847,1847,Academic Art
Thalia Flora-Karavia,1871,1871,Impressionism
Gosta Adrian-Nilsson,1884,1884,Cubism
Horacio Garcia-Rossi,1929,1929,Kinetic art
Herrad of Landsberg,1125,1125,Romanesque Art
Hildegard of Bingen,1098,1098,Romanesque Art
Juan de Valdes Leal,1622,1622,Baroque
Juriaen van Streeck,1632,1632,Baroque
Jean-Pierre Raynaud,1947,1947,Minimalism
Giovanni da Milano,1325,1325,Proto Renaissance
Anne-Louis Girodet,1767,1767,Romanticism
Nicholas of Verdun,1130,1130,Romanesque Art
Georges de la Tour,1593,1593,Baroque
Consuelo Hernández,1952,1952,Magic Realism
Jozsef Rippl-Ronai,1861,1861,Post-Impressionism
Conrad Marca-Relli,1913,1913,Abstract Art
