Bracha L. Ettinger,1948,1948,psychoanalyst
Bracha L. Ettinger,1948,1948,philosopher
Bracha L. Ettinger,1948,1948,painter
Bracha L. Ettinger,1948,1948,photographer
William H. Johnson,1901,1901,painter
William H. Johnson,1901,1901,printmaker
Alexey  Bogolyubov,1824,1824,painter
Alexey  Bogolyubov,1824,1824,art educator
Alexey  Bogolyubov,1824,1824,collector
O. Louis Guglielmi,1906,1906,university teacher
O. Louis Guglielmi,1906,1906,painter
Mikalojus Konstantinas Ciurlionis,1875,1875,painter
Mikalojus Konstantinas Ciurlionis,1875,1875,composer
Edward E. Simmons,1852,1852,naval officer
Edward E. Simmons,1852,1852,painter
Robert G. Harris,1911,1911,painter
Robert G. Harris,1911,1911,illustrator
Friedrich Vordemberge-Gildewart,1899,1899,designer
Friedrich Vordemberge-Gildewart,1899,1899,painter
Friedrich Vordemberge-Gildewart,1899,1899,university teacher
Edward R. Taylor,1838,1838,painter
Carl-Ludwig Johann Christineck,1732,1732,painter
Friedrich Schroder-Sonnenstern,1892,1892,drawer
Friedrich Schroder-Sonnenstern,1892,1892,painter
D. Jeffrey Mims,1954,1954,painter
D. Jeffrey Mims,1954,1954,politician
Nuno Gonçalves,1425,1425,musician
Nuno Gonçalves,1425,1425,painter
Nuno Gonçalves,1425,1425,researcher
Nuno Gonçalves,1425,1425,portraitist
Alexander Khvostenko-Khvostov,1885,1885,painter
Alexander Khvostenko-Khvostov,1885,1885,graphic artist
Alexander Khvostenko-Khvostov,1885,1885,pedagogue
Alexander Khvostenko-Khvostov,1885,1885,visual artist
Alexander Khvostenko-Khvostov,1885,1885,scenographer
Jose Ferraz de Almeida Junior,1850,1850,painter
Frank W. Benson,1858,1858,lawyer
Frank W. Benson,1858,1858,painter
Frank W. Benson,1858,1858,graphic artist
Frank W. Benson,1858,1858,politician
Maria Helena Vieira da Silva,1908,1908,artist
Maria Helena Vieira da Silva,1908,1908,painter
Maria Helena Vieira da Silva,1908,1908,graphic artist
Maria Helena Vieira da Silva,1908,1908,stained-glass artist
Jean-Baptiste-Simeon Chardin,1699,1699,painter
Jean-Baptiste-Simeon Chardin,1699,1699,visual artist
Eleanor Fortescue-Brickdale,1872,1872,illustrator
Eleanor Fortescue-Brickdale,1872,1872,painter
Eleanor Fortescue-Brickdale,1872,1872,cartoonist
Eleanor Fortescue-Brickdale,1872,1872,visual artist
Eleanor Fortescue-Brickdale,1872,1872,botanical illustrator
Alexander Bazhbeuk-Melikyan,1891,1891,painter
Georges Ribemont-Dessaignes,1884,1884,art historian
Georges Ribemont-Dessaignes,1884,1884,playwright
Georges Ribemont-Dessaignes,1884,1884,painter
Georges Ribemont-Dessaignes,1884,1884,writer
Georges Ribemont-Dessaignes,1884,1884,translator
Georges Ribemont-Dessaignes,1884,1884,screenwriter
Georges Ribemont-Dessaignes,1884,1884,poet
Alexandre-Jacques Chantron,1842,1842,photographer
Alexandre-Jacques Chantron,1842,1842,painter
Manuel Rodriguez de Guzman,1818,1818,painter
Rudolf Schweitzer-Cumpana,1886,1886,painter
Rudolf Schweitzer-Cumpana,1886,1886,writer
Andre Dunoyer de Segonzac,1884,1884,engraver
Andre Dunoyer de Segonzac,1884,1884,painter
Andre Dunoyer de Segonzac,1884,1884,illustrator
Andre Dunoyer de Segonzac,1884,1884,visual artist
Andre Dunoyer de Segonzac,1884,1884,landscape painter
Andre Dunoyer de Segonzac,1884,1884,graphic artist
Andre Dunoyer de Segonzac,1884,1884,etcher
Ivan-Valentyn Zadorozhny,1921,1921,painter
Anna Ostroumova-Lebedeva,1871,1871,photographer
Anna Ostroumova-Lebedeva,1871,1871,drawer
Anna Ostroumova-Lebedeva,1871,1871,painter
Anna Ostroumova-Lebedeva,1871,1871,illustrator
Anna Ostroumova-Lebedeva,1871,1871,engraver
Anna Ostroumova-Lebedeva,1871,1871,watercolorist
Anna Ostroumova-Lebedeva,1871,1871,graphic artist
Cristovao de Figueiredo,1450,1450,painter
Juan Carreno de Miranda,1614,1614,architectural draftsperson
Juan Carreno de Miranda,1614,1614,drawer
Juan Carreno de Miranda,1614,1614,painter
Jorge González Camarena,1908,1908,painter
Jorge González Camarena,1908,1908,sculptor
Aladar Korosfoi-Kriesch,1863,1863,sculptor
Aladar Korosfoi-Kriesch,1863,1863,painter
Giuseppe Pinot-Gallizio,1902,1902,drawer
Giuseppe Pinot-Gallizio,1902,1902,painter
M.F. Husain,1915,1915,photographer
M.F. Husain,1915,1915,politician
M.F. Husain,1915,1915,painter
M.F. Husain,1915,1915,screenwriter
M.F. Husain,1915,1915,artist
M.F. Husain,1915,1915,film director
M.F. Husain,1915,1915,film producer
Nikolay Bogdanov-Belsky,1868,1868,painter
Iain Baxter&,1936,1936,sculptor
Iain Baxter&,1936,1936,painter
Iain Baxter&,1936,1936,photographer
Iain Baxter&,1936,1936,printmaker
Gerhard von Graevenitz,1934,1934,painter
Gerhard von Graevenitz,1934,1934,photographer
Jean-Claude Silbermann,1935,1935,painter
Jean-Claude Silbermann,1935,1935,writer
Jean-Claude Silbermann,1935,1935,visual artist
Jean-Claude Silbermann,1935,1935,graphic artist
Jean-Claude Silbermann,1935,1935,poet
Julius LeBlanc Stewart,1855,1855,painter
Johann Anton de Peters,1725,1725,engraver
Johann Anton de Peters,1725,1725,painter
Pierre-Narcisse Guerin,1774,1774,painter
Carlos Saenz de Tejada,1897,1897,painter
Carlos Saenz de Tejada,1897,1897,costume designer
Albert Rafols-Casamada,1923,1923,painter
Albert Rafols-Casamada,1923,1923,writer
Albert Rafols-Casamada,1923,1923,poet
Włodzimierz Zakrzewski,1916,1916,graphic designer
Włodzimierz Zakrzewski,1916,1916,graphic artist
Włodzimierz Zakrzewski,1916,1916,painter
André Lhote,1885,1885,painter
André Lhote,1885,1885,teacher
André Lhote,1885,1885,printmaker
André Lhote,1885,1885,art critic
André Lhote,1885,1885,sculptor
André Lhote,1885,1885,graphic artist
Karl Schmidt-Rottluff,1884,1884,designer
Karl Schmidt-Rottluff,1884,1884,drawer
Karl Schmidt-Rottluff,1884,1884,painter
Karl Schmidt-Rottluff,1884,1884,university teacher
Karl Schmidt-Rottluff,1884,1884,art collector
Karl Schmidt-Rottluff,1884,1884,illustrator
Karl Schmidt-Rottluff,1884,1884,graphic artist
Karl Schmidt-Rottluff,1884,1884,sculptor
Karl Schmidt-Rottluff,1884,1884,lithographer
Karl Schmidt-Rottluff,1884,1884,q686932
Andres de Santa Maria,1860,1860,sculptor
Andres de Santa Maria,1860,1860,university teacher
Andres de Santa Maria,1860,1860,painter
Theo van Rysselberghe,1862,1862,designer
Theo van Rysselberghe,1862,1862,drawer
Theo van Rysselberghe,1862,1862,visual artist
Theo van Rysselberghe,1862,1862,painter
Theo van Rysselberghe,1862,1862,sculptor
Theo van Rysselberghe,1862,1862,graphic artist
Fernando García Ponce,1933,1933,painter
Inigo Manglano-Ovalle,1961,1961,artist
Inigo Manglano-Ovalle,1961,1961,video artist
Inigo Manglano-Ovalle,1961,1961,installation artist
Inigo Manglano-Ovalle,1961,1961,sculptor
Richard Pousette-Dart,1916,1916,painter
Richard Pousette-Dart,1916,1916,drawer
Richard Pousette-Dart,1916,1916,photographer
Ethel Léontine Gabain,1883,1883,painter
Ethel Léontine Gabain,1883,1883,lithographer
Charles-Amable Lenoir,1860,1860,painter
Francisco de Zurbaran,1598,1598,painter
Pieter van Hanselaere,1786,1786,painter
Jean-Honore Fragonard,1732,1732,printmaker
Jean-Honore Fragonard,1732,1732,drawer
Jean-Honore Fragonard,1732,1732,illustrator
Jean-Honore Fragonard,1732,1732,painter
Jean-Honore Fragonard,1732,1732,architectural draftsperson
Ion Theodorescu-Sion,1882,1882,painter
Ion Theodorescu-Sion,1882,1882,trade unionist
Ion Theodorescu-Sion,1882,1882,caricaturist
Janos Mattis-Teutsch,1884,1884,painter
Janos Mattis-Teutsch,1884,1884,journalist
Janos Mattis-Teutsch,1884,1884,writer
Janos Mattis-Teutsch,1884,1884,sculptor
Janos Mattis-Teutsch,1884,1884,poet
Apollinary Goravsky,1833,1833,painter
Edouard Debat-Ponsan,1847,1847,painter
Thalia Flora-Karavia,1871,1871,painter
Gosta Adrian-Nilsson,1884,1884,painter
Gosta Adrian-Nilsson,1884,1884,writer
Gosta Adrian-Nilsson,1884,1884,poet
Horacio Garcia-Rossi,1929,1929,sculptor
Horacio Garcia-Rossi,1929,1929,painter
Horacio Garcia-Rossi,1929,1929,kinetic artist
Herrad of Landsberg,1125,1125,christian nun
Herrad of Landsberg,1125,1125,illuminator
Herrad of Landsberg,1125,1125,artist
Herrad of Landsberg,1125,1125,writer
Herrad of Landsberg,1125,1125,philosopher
Hildegard of Bingen,1098,1098,theologian
Hildegard of Bingen,1098,1098,composer
Hildegard of Bingen,1098,1098,nun
Hildegard of Bingen,1098,1098,artist
Hildegard of Bingen,1098,1098,illuminator
Hildegard of Bingen,1098,1098,abbess
Hildegard of Bingen,1098,1098,philosopher
Hildegard of Bingen,1098,1098,writer
Hildegard of Bingen,1098,1098,physician
Hildegard of Bingen,1098,1098,naturalist
Hildegard of Bingen,1098,1098,poet
Juan de Valdes Leal,1622,1622,sculptor
Juan de Valdes Leal,1622,1622,painter
Juriaen van Streeck,1632,1632,painter
Jean-Pierre Raynaud,1947,1947,pensioner
Jean-Pierre Raynaud,1947,1947,politician
Giovanni da Milano,1325,1325,teacher
Giovanni da Milano,1325,1325,painter
Anne-Louis Girodet,1767,1767,painter
Anne-Louis Girodet,1767,1767,illustrator
Anne-Louis Girodet,1767,1767,writer
Anne-Louis Girodet,1767,1767,printmaker
Nicholas of Verdun,1130,1130,sculptor
Nicholas of Verdun,1130,1130,painter
Nicholas of Verdun,1130,1130,goldsmith
Georges de la Tour,1593,1593,architectural draftsperson
Georges de la Tour,1593,1593,painter
Georges de la Tour,1593,1593,military officer
Consuelo Hernández,1952,1952,painter
Consuelo Hernández,1952,1952,poet
Consuelo Hernández,1952,1952,writer
Jozsef Rippl-Ronai,1861,1861,painter
Jozsef Rippl-Ronai,1861,1861,printmaker
Conrad Marca-Relli,1913,1913,designer
Conrad Marca-Relli,1913,1913,painter
Andre-Pierre Arnal,1939,1939,painter
Laszlo Moholy-Nagy,1895,1895,designer
Laszlo Moholy-Nagy,1895,1895,photographer
Laszlo Moholy-Nagy,1895,1895,architect
Laszlo Moholy-Nagy,1895,1895,painter
Laszlo Moholy-Nagy,1895,1895,film director
Laszlo Moholy-Nagy,1895,1895,sculptor
Giuseppe de Nittis,1846,1846,painter
Giuseppe de Nittis,1846,1846,engraver
Jose de Guimaraes,1939,1939,painter
Jose de Guimaraes,1939,1939,sculptor
Rudolf de Crignis,1948,1948,drawer
Rudolf de Crignis,1948,1948,painter
Allan D'Arcangelo,1930,1930,painter
Allan D'Arcangelo,1930,1930,designer
Allan D'Arcangelo,1930,1930,printmaker
Allan D'Arcangelo,1930,1930,artist
Paul Émile Chabas,1869,1869,painter
Paul Émile Chabas,1869,1869,illustrator
Jean-Michel Atlan,1913,1913,painter
Jean-Michel Atlan,1913,1913,poet
Jean-Michel Atlan,1913,1913,drawer
Robert MacPherson,1944,1944,installation artist
Robert MacPherson,1944,1944,photographer
Robert MacPherson,1944,1944,painter
Robert MacPherson,1944,1944,university teacher
Robert MacPherson,1944,1944,military personnel
Robert MacPherson,1944,1944,topologist
Robert MacPherson,1944,1944,tennis player
Robert MacPherson,1944,1944,conceptual artist
Robert MacPherson,1944,1944,sport cyclist
Robert MacPherson,1944,1944,mathematician
Francesco Ribalta,1565,1565,painter
Bernard Van Orley,1488,1488,painter
Jean-Paul Jerome,1928,1928,drawer
Jean-Paul Jerome,1928,1928,painter
Beatriz González,1932,1932,researcher
Beatriz González,1932,1932,singer
Beatriz González,1932,1932,art critic
Beatriz González,1932,1932,painter
Beatriz González,1932,1932,art historian
Beatriz González,1932,1932,engraver
Beatriz González,1932,1932,curator
Beatriz González,1932,1932,sculptor
Beatriz González,1932,1932,explorer
Josefa de Obidos,1630,1630,artist
Josefa de Obidos,1630,1630,painter
Jan van Hemessen,1500,1500,painter
Jean-Leon Gerome,1824,1824,painter
Jean-Leon Gerome,1824,1824,teacher
Jean-Leon Gerome,1824,1824,architectural draftsperson
Jean-Leon Gerome,1824,1824,visual artist
Jean-Leon Gerome,1824,1824,sculptor
Jean-Leon Gerome,1824,1824,graphic artist
Jean-Leon Gerome,1824,1824,porcelain painter
Vilmos Aba-Novak,1894,1894,printmaker
Vilmos Aba-Novak,1894,1894,painter
Jeanne Hébuterne,1898,1898,art model
Jeanne Hébuterne,1898,1898,painter
Philip de Laszlo,1869,1869,sculptor
Philip de Laszlo,1869,1869,painter
Fabio de Sanctis,1931,1931,sculptor
Fabio de Sanctis,1931,1931,writer
Fabio de Sanctis,1931,1931,architect
Pierre Tal-Coat,1905,1905,drawer
Pierre Tal-Coat,1905,1905,painter
Pierre Tal-Coat,1905,1905,printmaker
Pierre Tal-Coat,1905,1905,illustrator
Bertold Löffler,1874,1874,designer
Bertold Löffler,1874,1874,painter
Bertold Löffler,1874,1874,teacher
Bertold Löffler,1874,1874,ceramicist
Bertold Löffler,1874,1874,medalist
Bertold Löffler,1874,1874,graphic artist
Bertold Löffler,1874,1874,fresco painter
John McLaughlin,1942,1942,drawer
John McLaughlin,1942,1942,painter
John McLaughlin,1942,1942,television presenter
John McLaughlin,1942,1942,journalist
John McLaughlin,1942,1942,linguist
John McLaughlin,1942,1942,translator
John McLaughlin,1942,1942,politician
John McLaughlin,1942,1942,association football player
Arkhyp Kuindzhi,1841,1841,painter
Arkhyp Kuindzhi,1841,1841,university teacher
Kees van Dongen,1877,1877,printmaker
Kees van Dongen,1877,1877,illustrator
Kees van Dongen,1877,1877,painter
Kees van Dongen,1877,1877,ceramicist
Kees van Dongen,1877,1877,architectural draftsperson
Kees van Dongen,1877,1877,sculptor
Kees van Dongen,1877,1877,graphic artist
Angelo de Sousa,1938,1938,sculptor
Angelo de Sousa,1938,1938,painter
Willem van Genk,1927,1927,sculptor
Willem van Genk,1927,1927,drawer
Willem van Genk,1927,1927,painter
Gustave de Smet,1877,1877,painter
Eugene de Blaas,1843,1843,painter
Eugène Burnand,1850,1850,drawer
Eugène Burnand,1850,1850,painter
Eugène Burnand,1850,1850,illustrator
Eugène Burnand,1850,1850,architect
Eugène Burnand,1850,1850,graphic artist
Carsten Holler,1961,1961,artist
Carsten Holler,1961,1961,performance artist
Bram van Velde,1895,1895,painter
Bram van Velde,1895,1895,lithographer
Bram van Velde,1895,1895,illustrator
Joseph DeCamp,1858,1858,painter
John O'Connor,1920,1920,farmer
John O'Connor,1920,1920,judge
John O'Connor,1920,1920,politician
Isaac Israels,1865,1865,lithographer
Isaac Israels,1865,1865,painter
Isaac Israels,1865,1865,drawer
Isaac Israels,1865,1865,photographer
Louise Abbéma,1853,1853,sculptor
Louise Abbéma,1853,1853,painter
Louise Abbéma,1853,1853,designer
Ha Chong-Hyun,1935,1935,painter
Luca di Tommé,1330,1330,painter
Teodor Harșia,1914,1914,painter
Wen-Ying Tsai,1928,1928,artist
Wen-Ying Tsai,1928,1928,sculptor
Erol Akyavaş,1932,1932,architect
Erol Akyavaş,1932,1932,painter
Lee Quinones,1960,1960,painter
Lee Quinones,1960,1960,graffiti artist
Lee Quinones,1960,1960,actor
Pushpamala N,1956,1956,painter
Pushpamala N,1956,1956,photographer
Adolf Wölfli,1864,1864,composer
Adolf Wölfli,1864,1864,drawer
Adolf Wölfli,1864,1864,photographer
Adolf Wölfli,1864,1864,painter
Adolf Wölfli,1864,1864,writer
Adolf Wölfli,1864,1864,visual artist
Hans am Ende,1864,1864,sculptor
Hans am Ende,1864,1864,graphic artist
Hans am Ende,1864,1864,painter
Arthur Nísio,1906,1906,painter
LeRoy Neiman,1921,1921,painter
LeRoy Neiman,1921,1921,actor
Chu Teh-Chun,1920,1920,painter
Josef Capek,1887,1887,playwright
Josef Capek,1887,1887,photographer
Josef Capek,1887,1887,painter
Josef Capek,1887,1887,art theorist
Josef Capek,1887,1887,illustrator
Josef Capek,1887,1887,journalist
Josef Capek,1887,1887,writer
Josef Capek,1887,1887,translator
Josef Capek,1887,1887,art critic
Josef Capek,1887,1887,graphic artist
Josef Capek,1887,1887,scenographer
Ayse Erkmen,1949,1949,installation artist
Ayse Erkmen,1949,1949,sculptor
Park Seo-Bo,1931,1931,painter
Carl Holsøe,1863,1863,painter
Boris Bućan,1947,1947,designer
Boris Bućan,1947,1947,printmaker
Boris Bućan,1947,1947,visual artist
Boris Bućan,1947,1947,painter
Boris Bućan,1947,1947,graphic artist
Tony DeLap,1927,1927,painter
Tony DeLap,1927,1927,artist
Tony DeLap,1927,1927,sculptor
Zao Wou-Ki,1920,1920,postage stamp designer
Zao Wou-Ki,1920,1920,drawer
Zao Wou-Ki,1920,1920,painter
Zao Wou-Ki,1920,1920,artist
Zao Wou-Ki,1920,1920,lithographer
Léo Schnug,1878,1878,painter
Jay DeFeo,1929,1929,sculptor
Jay DeFeo,1929,1929,painter
Jay DeFeo,1929,1929,photographer
Jay DeFeo,1929,1929,visual artist
SM Sultan,1923,1923,painter
Marevna (Marie Vorobieff),1892,1892,painter
Marevna (Marie Vorobieff),1892,1892,visual artist
Martín Rico y Ortega,1833,1833,painter
J. C. Leyendecker,1874,1874,painter
J. C. Leyendecker,1874,1874,designer
J. C. Leyendecker,1874,1874,illustrator
Elsa von Freytag-Loringhoven,1874,1874,drawer
Elsa von Freytag-Loringhoven,1874,1874,performance artist
Elsa von Freytag-Loringhoven,1874,1874,painter
Elsa von Freytag-Loringhoven,1874,1874,model
Elsa von Freytag-Loringhoven,1874,1874,assemblage artist
Elsa von Freytag-Loringhoven,1874,1874,artist
Elsa von Freytag-Loringhoven,1874,1874,writer
Elsa von Freytag-Loringhoven,1874,1874,sculptor
Elsa von Freytag-Loringhoven,1874,1874,poet
Giuseppe Mazzolini,1806,1806,painter
Luis de Madrazo y Kuntz,1825,1825,painter
Guilherme de Santa-Rita,1889,1889,painter
William Russell Flint,1880,1880,printmaker
William Russell Flint,1880,1880,illustrator
William Russell Flint,1880,1880,drawer
William Russell Flint,1880,1880,painter
Jean Lecomte du Nouÿ,1842,1842,sculptor
Jean Lecomte du Nouÿ,1842,1842,painter
Adolf Hirémy-Hirschl,1860,1860,painter
Eduard von Grützner,1846,1846,painter
Eduard von Grützner,1846,1846,teacher
Adam van der Meulen,1632,1632,painter
M. H. Maxy,1895,1895,artist
M. H. Maxy,1895,1895,painter
M. H. Maxy,1895,1895,university teacher
M. H. Maxy,1895,1895,scenographer
Vahram Gayfedjian,1879,1879,painter
Grégoire Michonze,1902,1902,painter
Bart van der Leck,1876,1876,designer
Bart van der Leck,1876,1876,painter
Bart van der Leck,1876,1876,ceramicist
Bart van der Leck,1876,1876,textile artist
Bart van der Leck,1876,1876,graphic artist
Michael Bell,1936,1936,voice actor
Michael Bell,1936,1936,horse trainer
Michael Bell,1936,1936,television actor
Michael Bell,1936,1936,researcher
Michael Bell,1936,1936,activist
Michael Bell,1936,1936,scholar of english
Michael Bell,1936,1936,casting director
Michael Bell,1936,1936,film director
Michael Bell,1936,1936,screenwriter
Michael Bell,1936,1936,association football player
Michael Bell,1936,1936,painter
Michael Bell,1936,1936,inventor
Michael Bell,1936,1936,professional wrestler
Michael Bell,1936,1936,sociologist
Michael Bell,1936,1936,mixed martial arts judge
Michael Bell,1936,1936,politician
Michael Bell,1936,1936,university teacher
Michael Bell,1936,1936,speedway rider
Michael Bell,1936,1936,visual artist
Michael Bell,1936,1936,mixed martial arts referee
Michael Bell,1936,1936,association football manager
Michael Bell,1936,1936,prose writer
Michael Bell,1936,1936,film actor
Michael Bell,1936,1936,computer scientist
Michael Bell,1936,1936,publisher
Michael Bell,1936,1936,software architect
Michael Bell,1936,1936,basketball player
Michael Bell,1936,1936,cricketer
JCJ Vanderheyden,1928,1928,photographer
JCJ Vanderheyden,1928,1928,painter
JCJ Vanderheyden,1928,1928,university teacher
JCJ Vanderheyden,1928,1928,conceptual artist
JCJ Vanderheyden,1928,1928,film director
JCJ Vanderheyden,1928,1928,sculptor
JCJ Vanderheyden,1928,1928,graphic artist
JCJ Vanderheyden,1928,1928,filmmaker
Antonio Povedano,1918,1918,painter
Arthur Pan,1894,1894,painter
A.Y. Jackson,1882,1882,painter
Chang Dai-chien,1899,1899,painter
Chang Dai-chien,1899,1899,art forger
Félix Del Marle,1889,1889,drawer
Félix Del Marle,1889,1889,painter
Roger Bissière,1886,1886,drawer
Roger Bissière,1886,1886,painter
Roger Bissière,1886,1886,photographer
Jacques Hérold,1910,1910,sculptor
Jacques Hérold,1910,1910,painter
Jacques Hérold,1910,1910,graphic artist
Jacques Hérold,1910,1910,illustrator
M.C. Escher,1898,1898,wood engraver
M.C. Escher,1898,1898,postage stamp designer
M.C. Escher,1898,1898,designer
M.C. Escher,1898,1898,drawer
M.C. Escher,1898,1898,printmaker
M.C. Escher,1898,1898,photographer
M.C. Escher,1898,1898,painter
M.C. Escher,1898,1898,ceramics designer
M.C. Escher,1898,1898,illustrator
M.C. Escher,1898,1898,lithographer
M.C. Escher,1898,1898,muralist
M.C. Escher,1898,1898,sculptor
Hong Song-dam,1955,1955,painter
Mestre Ataíde,1762,1762,military personnel
Mestre Ataíde,1762,1762,painter
Mestre Ataíde,1762,1762,sculptor
Li Yuan-chia,1929,1929,painter
Li Yuan-chia,1929,1929,poet
José Luzán,1710,1710,painter
António de Carvalho da Silva Porto,1850,1850,painter
Jean-Joseph-Xavier Bidauld,1758,1758,painter
Pieter Saenredam,1597,1597,graphic artist
Pieter Saenredam,1597,1597,drawer
Pieter Saenredam,1597,1597,painter
Shin Yoon-bok,1758,1758,painter
Jindrich Styrsky,1899,1899,photographer
Jindrich Styrsky,1899,1899,painter
Jindrich Styrsky,1899,1899,contributing editor
Jindrich Styrsky,1899,1899,illustrator
Jindrich Styrsky,1899,1899,art theorist
Jindrich Styrsky,1899,1899,typographer
Jindrich Styrsky,1899,1899,writer
Jindrich Styrsky,1899,1899,visual artist
Jindrich Styrsky,1899,1899,graphic artist
Jindrich Styrsky,1899,1899,poet
Jindrich Styrsky,1899,1899,scenographer
George Philip Reinagle,1802,1802,painter
Ralph Blakelock,1847,1847,painter
Frances Macdonald,1873,1873,painter
Frances Macdonald,1873,1873,textile artist
Frances Macdonald,1873,1873,designer
Frances Macdonald,1873,1873,illustrator
Pellizza da Volpedo,1868,1868,painter
Raimundo de Madrazo,1841,1841,painter
Elenore Abbott,1875,1875,painter
Elenore Abbott,1875,1875,scenographer
Elenore Abbott,1875,1875,illustrator
Elenore Abbott,1875,1875,artist
C. R. W. Nevinson,1889,1889,drawer
C. R. W. Nevinson,1889,1889,painter
C. R. W. Nevinson,1889,1889,graphic artist
C. R. W. Nevinson,1889,1889,ambulance driver
Il Sassetta (Stefano di Giovanni),1374,1374,painter
Rafael García Hispaleto (El Hispaleto),1833,1833,painter
Alexei Korzukhin,1835,1835,painter
Charles-Andre van Loo (Carle van Loo),1705,1705,painter
Lubo Kristek,1943,1943,sculptor
Lubo Kristek,1943,1943,painter
Lubo Kristek,1943,1943,performance artist
Ding Yi,1750,1750,painter
Ding Yi,1750,1750,poet
Ding Yi,1750,1750,military commander
Phase 2,1955,1955,painter
Phase 2,1955,1955,graffiti artist
TRACY 168,1958,1958,painter
Ad Reinhardt,1913,1913,university teacher
Ad Reinhardt,1913,1913,collagist
Ad Reinhardt,1913,1913,printmaker
Ad Reinhardt,1913,1913,painter
Adnan Coker,1927,1927,painter
Akkitham Narayanan,1939,1939,painter
Akkitham Narayanan,1939,1939,printmaker
Alberto Magnelli,1888,1888,painter
Alberto Magnelli,1888,1888,illustrator
Alekos Kontopoulos,1904,1904,painter
Alekos Kontopoulos,1904,1904,writer
Alexander Calder,1898,1898,designer
Alexander Calder,1898,1898,printmaker
Alexander Calder,1898,1898,drawer
Alexander Calder,1898,1898,jewelry designer
Alexander Calder,1898,1898,photographer
Alexander Calder,1898,1898,painter
Alexander Calder,1898,1898,illustrator
Alexander Calder,1898,1898,architectural draftsperson
Alexander Calder,1898,1898,visual artist
Alexander Calder,1898,1898,sculptor
Alexander Calder,1898,1898,graphic artist
Alexander Rodchenko,1891,1891,designer
Alexander Rodchenko,1891,1891,photographer
