artist_name,birth_year,title,artwork_date
Otto Wagner,1841,"Ferdinandsbrücke Project, Vienna, Austria (Elevation, preliminary version)",1896.0
Christian de Portzamparc,1944,"City of Music, National Superior Conservatory of Music and Dance, Paris, France, View from interior courtyard",1987.0
Emil Hoppe,1876,"Villa project, outside Vienna, Austria (Elevation)",1903.0
Bernard Tschumi,1944,"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 1: The Park",1980.0
Louis I. Kahn,1901,"Memorial to the Six Million Jewish Martyrs, project, New York City, New York, Perspective of central pier",1968.0
Marcel Kammerer,1878,"Royal Hunting Tent, project, Exterior perspective",1900.0
Otto Schönthal,1878,"House in Krems, project, Krems, Austria, Elevation",1905.0
Hans Poelzig,1869,"Concert Hall Project, Dresden, Germany (Interior perspective of preliminary scheme)",1918.0
Raimund Abraham,1933,"Earth-Cloud House, project",1970.0
Peter Eisenman,1932,"House IV Project, Falls Village, Connecticut (Multiple axonometrics)",1975.0
Rem Koolhaas,1944,"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective",1987.0
Madelon Vriesendorp,1945,"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective",1987.0
Roger C. Ferri,1949,"Pedestrian City project, Hypostyle Courtyard (Structural details)",1979.0
Michael Graves,1934,"Fargo-Moorhead Cultural Center Bridge, project, Fargo, North Dakota and Moorhead, Minnesota, South elevation",1978.0
Aldo Rossi,1931,"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section",1974.0
Gianni Braghieri,1945,"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section",1974.0
Ludwig Mies van der Rohe,1886,Misc. objects,
Erik Gunnar Asplund,1885,"Villa Snellman, Djursholm, Sweden, Elevation of garden facade, sketch",1917.0
Paul Nelson,1895,"Palais de la Découverte Project, Paris, France (Elevation)",1938.0
Oscar Nitzchke,1900,"Palais de la Découverte Project, Paris, France (Elevation)",1938.0
Frantz Jourdain,1847,"Palais de la Découverte Project, Paris, France (Elevation)",1938.0
Steven Holl,1947,"Gymnasium-Bridge, project, New York City, New York, Perspective",1977.0
Erich Mendelsohn,1887,"Library and Office Building of Salman Schocken, Jerusalem, Israel, Interior perspectives",1935.0
Paolo Soleri,1919,Helium Bridge Project,1958.0
Paul Rudolph,1918,"Residence for Herbert Green, Studies for an Unfolded Modular House, Cherry Hill, Pennsylvania, Perspective",1989.0
Peter Cook,1936,"Arcadia Peninsula Housing, project, Revised version: exterior elevation",1979.0
Elizabeth Diller,1954,"Slow House Project, North Haven, New York, Plan of lower-level and sections",1989.0
Ricardo Scofidio,1935,"Slow House Project, North Haven, New York, Plan of lower-level and sections",1989.0
Diller + Scofidio,1981,"Slow House Project, North Haven, New York, Plan of lower-level and sections",1989.0
Zaha Hadid,1950,"The Peak Project, Hong Kong, China (Exterior perspective)",1991.0
Fumihiko Maki,1928,"Study for an Office Building, project, Tokyo, Japan, Exterior perspective",1980.0
Zoe Zenghelis,1937,"Egg of Columbus Circle project, New York, New York (Axonometric)",1975.0
Elia Zenghelis,1937,"Egg of Columbus Circle project, New York, New York (Axonometric)",1975.0
Frank Lloyd Wright,1867,"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Plan and elevation",1941.0
Mario Bellini,1935,"Exhibition ""Mario Bellini: Designer."", The Museum of Modern Art, New York, 1987, Installation plan",1987.0
Venturi and Rauch,1964,"City Hall, project, North Canton, Ohio, Perspective sketch",1965.0
Robert Venturi,1925,"City Hall, project, North Canton, Ohio, Perspective sketch",1965.0
John Rauch,1930,"City Hall, project, North Canton, Ohio, Perspective sketch",1965.0
Denise Scott Brown,1931,"House, Northern Delaware, Preliminary study of west elevation",1978.0
Venturi,1980,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows",1981.0
Rauch and Scott Brown,1925,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows",1981.0
Robert Venturi,1930,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows",1981.0
John Rauch,1931,"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows",1981.0
Emilio Ambasz,1943,"Center for Applied Computer Research, Las Promesas, Mexico, Site plan",1975.0
Tadao Ando,1941,"Church on the Water, Tomamu, Hokkaido, Japan (Elevation and plan)",1985.0
Arata Isozaki,1931,"Nara Convention Hall, Nara, Japan, Exterior perspective",1992.0
Theo van Doesburg,1883,Contra-Construction Project (Axonometric),1923.0
Cornelis van Eesteren,1897,Contra-Construction Project (Axonometric),1923.0
Oscar Niemeyer,1907,"Ibirapuera Park project, São Paulo, Brazil (Site plan)",1953.0
Roberto Burle Marx,1909,"Ibirapuera Park project, São Paulo, Brazil (Site plan)",1953.0
Neil M. Denari,1957,"Prototype Architecture School No. 5, project, Los Angeles, California, Elevations",1992.0
David Jacob,1928,Simulated Dwelling for a Family of Five Project,1970.0
