artist_name,birth_year,birth_year_key,style_name,style_count,style_years
Bracha L. Ettinger,1948,1948,New European Painting,21,1991-2009
William H. Johnson,1901,1901,Cubism,,1938-1941
William H. Johnson,1901,1901, Expressionism,,
William H. Johnson,1901,1901, Futurism,,
William H. Johnson,1901,1901, Naïve Art (Primitivism),,
William H. Johnson,1901,1901, Realism,,
William H. Johnson,1901,1901, Social Realism,,
Alexey  Bogolyubov,1824,1824,Realism,,1860-1889
Alexey  Bogolyubov,1824,1824, Romanticism,,
O. Louis Guglielmi,1906,1906,Cubism,,1946-1954
O. Louis Guglielmi,1906,1906, Expressionism,,
O. Louis Guglielmi,1906,1906, Magic Realism,,
Mikalojus Konstantinas Ciurlionis,1875,1875,Symbolism,168,1903-1909
Edward E. Simmons,1852,1852,Art Nouveau (Modern),,1896-1896
Edward E. Simmons,1852,1852, Impressionism,,
Edward E. Simmons,1852,1852, Realism,,
Edward E. Simmons,1852,1852, Social Realism,,
Robert G. Harris,1911,1911,Poster Art Realism,17,1935-1961
Friedrich Vordemberge-Gildewart,1899,1899,Concretism,21,1925-1968
Edward R. Taylor,1838,1838,Romanticism,16,1865-1911
Carl-Ludwig Johann Christineck,1732,1732,Rococo,29,1760-1786
Friedrich Schroder-Sonnenstern,1892,1892,Art Brut,10,1948-1965
D. Jeffrey Mims,1954,1954,Contemporary Realism,10,1954-1997
Nuno Gonçalves,1425,1425,Early Renaissance,10,1450-1490
Alexander Khvostenko-Khvostov,1885,1885,Art Nouveau (Modern),,1917-1948
Alexander Khvostenko-Khvostov,1885,1885, Constructivism,,
Alexander Khvostenko-Khvostov,1885,1885, Expressionism,,
Alexander Khvostenko-Khvostov,1885,1885, Post-Impressionism,,
Alexander Khvostenko-Khvostov,1885,1885, Socialist Realism,,
Jose Ferraz de Almeida Junior,1850,1850,Academicism,,1850-1895
Jose Ferraz de Almeida Junior,1850,1850, Realism,,
Frank W. Benson,1858,1858,Impressionism,,1887-1922
Frank W. Benson,1858,1858, Naturalism,,
Frank W. Benson,1858,1858, Realism,,
Maria Helena Vieira da Silva,1908,1908,Abstract Art,,1942-1988
Maria Helena Vieira da Silva,1908,1908, Expressionism,,
Maria Helena Vieira da Silva,1908,1908, Surrealism,,
Maria Helena Vieira da Silva,1908,1908, Tachisme,,
Maria Helena Vieira da Silva,1908,1908, Unknown,,
Jean-Baptiste-Simeon Chardin,1699,1699,Baroque,,
Jean-Baptiste-Simeon Chardin,1699,1699, Rococo,,
Eleanor Fortescue-Brickdale,1872,1872,Art Nouveau (Modern),,
Eleanor Fortescue-Brickdale,1872,1872, Romanticism,,
Alexander Bazhbeuk-Melikyan,1891,1891,Expressionism,,1927-1964
Alexander Bazhbeuk-Melikyan,1891,1891, Realism,,
Georges Ribemont-Dessaignes,1884,1884,Cubism,,
Georges Ribemont-Dessaignes,1884,1884, Dada,,
Georges Ribemont-Dessaignes,1884,1884, Pointillism,,
Georges Ribemont-Dessaignes,1884,1884, Surrealism,,
Alexandre-Jacques Chantron,1842,1842,Academicism,,1918-1918
Alexandre-Jacques Chantron,1842,1842, Impressionism,,
Manuel Rodriguez de Guzman,1818,1818,Costumbrismo,11,1846-1865
Rudolf Schweitzer-Cumpana,1886,1886,Impressionism,61,1919-1973
Andre Dunoyer de Segonzac,1884,1884,Impressionism,,1905-1970
Andre Dunoyer de Segonzac,1884,1884, Post-Impressionism,,
Ivan-Valentyn Zadorozhny,1921,1921,Naïve Art (Primitivism),12,1976-1988
Anna Ostroumova-Lebedeva,1871,1871,Art Nouveau (Modern),,1904-1911
Anna Ostroumova-Lebedeva,1871,1871, Post-Impressionism,,
Cristovao de Figueiredo,1450,1450,Northern Renaissance,12,1520-1530
Juan Carreno de Miranda,1614,1614,Baroque,26,1656-1684
Jorge González Camarena,1908,1908,Muralism,7,1969-1980
Aladar Korosfoi-Kriesch,1863,1863,Art Nouveau (Modern),,1894-1918
Aladar Korosfoi-Kriesch,1863,1863, Expressionism,,
Aladar Korosfoi-Kriesch,1863,1863, Unknown,,
Giuseppe Pinot-Gallizio,1902,1902,Art Informel,,1955-1963
Giuseppe Pinot-Gallizio,1902,1902, Conceptual Art,,
M.F. Husain,1915,1915,Abstract Art,,
M.F. Husain,1915,1915, Abstract Expressionism,,
M.F. Husain,1915,1915, Cubism,,
M.F. Husain,1915,1915, Cubo-Expressionism,,
M.F. Husain,1915,1915, Expressionism,,
M.F. Husain,1915,1915, Pop Art,,
Nikolay Bogdanov-Belsky,1868,1868,Impressionism,,1891-1941
Nikolay Bogdanov-Belsky,1868,1868, Realism,,
Iain Baxter&,1936,1936,Conceptual Art,10,1965-2008
Gerhard von Graevenitz,1934,1934,Kinetic Art,,1962-1973
Gerhard von Graevenitz,1934,1934, Op Art,,
Jean-Claude Silbermann,1935,1935,Surrealism,11,1977-2008
Julius LeBlanc Stewart,1855,1855,Impressionism,,1882-1895
Julius LeBlanc Stewart,1855,1855, Realism,,
Johann Anton de Peters,1725,1725,Rococo,12,1775-1775
Pierre-Narcisse Guerin,1774,1774,Neoclassicism,50,1793-1819
Pierre-Narcisse Guerin,1774,1774, Unknown,,
Carlos Saenz de Tejada,1897,1897,Art Deco,,1920-1927
Carlos Saenz de Tejada,1897,1897, Art Nouveau (Modern),,
Carlos Saenz de Tejada,1897,1897, Cloisonnism,,
Carlos Saenz de Tejada,1897,1897, Cubism,,
Carlos Saenz de Tejada,1897,1897, Expressionism,,
Carlos Saenz de Tejada,1897,1897, Impressionism,,
