artist_name,birth_year,nationality,gender,death_year
Anna Ostroumova-Lebedeva,0,Russian,female,0
Beatriz González,1938,Unknown,female,0
John McLaughlin,1898,American,male,1976
Roger Bissière,1888,French,male,1964
David Smith,1906,American,male,1965
Hans Richter,1888,American German,male,1976
Jean Hugo,1894,French,male,1984
Ossip Zadkine,1890,French Jewish,male,1967
Victor Vasarely,1908,French Hungarian,male,1997
Edward Corbett,1919,American,male,1971
Elaine de Kooning,1920,American,female,1989
Gandy Brodie,1925,American,male,1975
Hans Hofmann,1880,American German,male,1966
James Brooks,1906,Unknown,male,1992
Kazuo Nakamura,1926,Japanese Canadian,male,2002
Larry Zox,1936,American,male,2006
Manoucher Yektai,1921,Iranian,male,2019
Mark Lancaster,1938,British,male,0
Norman Bluhm,1920,American,male,1999
Norman Lewis,1909,American,male,1979
Oswaldo Vigas,1923,Venezuelan,male,2014
Pedro Coronel,1923,Mexican,male,1985
Richard Smith,1931,British,male,2016
William Scott,1964,British,male,0
Bill Traylor,1853,American,male,1949
Patrick Heron,0,British,male,0
Eugène Grasset,1841,Unknown,male,1917
Ivan Bilibin,0,Russian,male,0
Kazimir Malevich,1878,Russian Polish Ukrainian,male,1935
Paul Ranson,1862,Unknown,male,1909
Georges Lacombe,1868,French,male,1916
Adrian Piper,1948,Unknown,female,0
Do Ho Suh,1962,Unknown,male,0
Robert Morris,1931,American,male,2018
Dieter Roth,1930,German Swiss Icelandic,male,1998
Erich Buchholz,1891,German,male,1972
Vadym Meller,0,Ukrainian,male,0
Jane Wilson,1967,American,female,0
John Miller,1948,British,male,0
Norman Ackroyd,0,British,male,0
Aaron Douglas,1899,American,male,1979
Lasar Segall,1889,Jewish Lithuanian Brazilian,male,1957
Louis Marcoussis,1883,French Polish,male,1941
Max Jacob,1876,French Jewish,male,1944
Max Weber,1881,American Jewish,male,1961
Renato Guttuso,1912,Italian,male,1987
Georges Hugnet,1906,French,male,1974
Henri Martin,0,French,male,0
George Segal,1924,American,male,2000
Richard Long,1945,British,male,0
Germaine Richier,1904,French,female,1959
Alberto da Veiga Guignard,1895,Unknown,male,1962
Charles Maurin,1856,French,male,1914
Fred Williams,1927,Australian,male,1982
Maurice Prendergast,1859,American,male,1924
George Rickey,1907,American,male,2002
Peter Alexander,1939,American,male,2020
David Johnson,0,American,Unknown,0
Alan Charlton,1948,British,male,0
Alex Hay,1930,American,male,0
James Bishop,1927,French American,male,2021
Robert Grosvenor,1937,American,male,0
Rene Portocarrero,1914,Cuban,male,1985
José Luis Cuevas,1934,Unknown,male,2017
Peter Phillips,1939,British,male,0
Dorothea Rockburne,1932,American Canadian,female,0
Nancy Graves,1940,American,female,1995
Tim Scott,1937,British,male,0
Pat Steir,1940,American,female,0
David Bates,1952,British,male,0
James Hamilton,1928,American,male,0
Albin Brunovsky,0,Slovak,male,0
Yves Tanguy,1900,French American,male,1955
Melissa Meyer,1947,Unknown,female,0
Paul Leroy,0,Unknown,male,0
Valentine Hugo,1890,Unknown,female,1968
Emma Amos,1937,Unknown,female,2020
Dominique Gonzalez-Foerster,1965,Unknown,female,0
Cameron Platter,1978,Unknown,male,0
Alexis Gritchenko,1883,Unknown,male,1977
Charles Long,1958,Unknown,male,0
Jorge Pardo,1963,Unknown,male,0
Francis Bedford,1816,Unknown,male,1894
Henri Le Sidaner,0,Unknown,male,0
Howard Chandler Christy,1872,Unknown,male,1952
John Latham,1921,Unknown,male,2006
Calvin Klein,1968,Unknown,Unknown,0
Steiner,0,Unknown,Unknown,0
Jacques Doucet,1924,Unknown,male,1994
John Wood,0,Unknown,male,0
John Wood,1922,Unknown,male,2012
John Wood,1969,Unknown,male,0
Helmut Lang,1924,Unknown,male,0
George Minne,1867,Unknown,male,1941
Charles Clifford,1819,Unknown,male,1863
Étienne Carjat,1829,Unknown,male,1906
Dan Dailey,1947,Unknown,male,0
Johannes Larsen,1912,Unknown,male,0
David Goldblatt,1930,Unknown,male,2018
Barnett Freedman,0,Unknown,male,0
Andrzej Pagowski,1953,Unknown,male,0
Nick Cave,1959,Unknown,male,0
Ugo Rondinone,1964,Unknown,male,0
Pablo Palazuelo,1916,Spanish,male,2007
Doris Ulmann,1884,Unknown,female,1934
Judy Chicago,1937,American,female,0
Laura Gilpin,1881,Unknown,female,1979
Robert Adams,1937,Unknown,male,0
Felice Beato,1825,Unknown,male,1903
Albert Besnard,1849,Unknown,male,1934
Robert Graham,1938,Unknown,male,2008
Ferdinand Mulnier,0,Unknown,male,0
William Zorach,1889,Unknown,male,1966
Claudio Bravo,1936,Chilean,male,2011
Oscar Muñoz,1951,Unknown,male,0
Richard Jackson,1939,Unknown,male,0
Walter Pichler,1936,Unknown,male,2012
John D. Graham,1886,Unknown,male,1961
William McFarlane Notman,1826,Unknown,male,1891
Pierre Petit,1832,Unknown,male,1909
Louis-Rémy Robert,1811,Unknown,male,1882
Gae Aulenti,1930,Unknown,female,2012
Josh Kline,1979,Unknown,male,0
Piero Guccione,0,Unknown,male,0
William Bailey,1930,Unknown,male,2020
Paul Edmunds,1970,Unknown,male,0
John A. Davies,1949,Unknown,male,0
William Bradley,1868,Unknown,male,1962
Fred Wilson,1954,Unknown,male,0
Miguel Ortiz Berrocal,1933,Unknown,male,2006
Gastone Novelli,1925,Unknown,male,1968
Martin Wong,1946,Unknown,male,1999
Patrick Jouin,1967,Unknown,male,0
Jacques Charlier,1939,Unknown,male,0
Alexander Henderson,1831,Unknown,male,1913
John Wilson,1922,Unknown,male,2015
Mirko,0,Unknown,Unknown,0
Monika Baer,1964,Unknown,female,0
Tadeusz Brzozowski,1918,Unknown,male,1987
John Morris,1965,Unknown,male,0
Manuel Manilla,1873,Unknown,male,1900
Antonio Manuel,1947,Unknown,male,0
John Smith,1952,Unknown,male,0
Paul Thompson,1878,Unknown,male,1940
Conrad,0,Unknown,Unknown,0
Louis Lafon,1870,Unknown,male,1890
Jonas Lie,0,Unknown,male,0
Larry Fink,1941,Unknown,male,2023
Joseph Schwartz,1913,Unknown,male,2015
Agustín Fernández,1928,Unknown,male,2006
Alice Boughton,1865,American,female,1943
Catherine Murphy,1946,American,female,0
Toshi Yoshida,1911,Japanese,male,1995
