school_name,total_artists,avg_career_length,style_diversity
école de paris,70,80.6394230769230769,41
new york school,42,71.9487179487179487,25
degenerate art,35,69.1322314049586777,29
peredvizhniki (society for traveling art exhibitions),27,68.8260869565217391,12
mir iskusstva (world of art),23,74.2736842105263158,22
dutch school,23,62.3409090909090909,11
zero,22,76.4,15
florentine school,22,16.5128205128205128,9
balchik school,21,72.5,12
abstraction-création,21,70.956043956043956,27
pre-raphaelite brotherhood,20,61.8684210526315789,6
flemish school,17,61.1538461538461538,5
venetian school,16,66.5714285714285714,8
cobra,15,77.1219512195121951,15
la ruche,15,73.1111111111111111,21
section d'or (puteaux group),14,76.8902439024390244,29
der blaue reiter (the blue rider),14,69.6111111111111111,18
vienna secession,14,63.1372549019607843,16
hudson river school,14,51.6774193548387097,6
antwerp school,13,65.7272727272727273,4
les fauves,11,80.0483870967741935,22
berlin secession,11,75.4193548387096774,12
irascibles,11,69.6511627906976744,15
ten (ten american painters),11,68.3548387096774194,10
bay area figurative school,10,77.3636363636363636,11
bauhaus,10,73.6976744186046512,20
caravaggisti,10,56,3
fluxus,10,54.9411764705882353,17
les nabis,9,73.6590909090909091,15
jack of diamonds,9,70.5277777777777778,24
cercle et carré,9,70.34375,15
société des artistes indépendants (society of independent artists),9,68.5121951219512195,24
english school,9,66.1739130434782609,6
barbizon school,9,65.8,5
die brücke (the bridge),8,76.032258064516129,13
eight,8,73.7,9
american abstract artists,8,70.8846153846153846,12
washington color school,8,69.4516129032258065,12
stieglitz group,8,69,13
haarlem school,8,65,3
munich school (σχολή του μονάχου),8,64.5652173913043478,10
soyuz molodyozhi (union of the youth),8,62.7457627118644068,25
gutai group,7,77.6111111111111111,12
union of russian artists,7,72.1724137931034483,11
armu (association of revolutionary masters of ukraine),7,70.8285714285714286,17
düsseldorf school of painting,7,69.9,5
st ives school,7,68.5882352941176471,12
les xx,7,63.8214285714285714,12
art (τέχνη),6,70.7272727272727273,9
pont-aven school,6,69.8846153846153846,13
society of polish artists 'sztuka',6,69.8076923076923077,10
radical painting group,6,69.4166666666666667,6
heidelberg school,6,61,4
park place,6,60.2,7
der sturm,6,57.12,13
jeune peinture belge,5,80.5,12
supports/surfaces,5,76.8181818181818182,7
akhrr (association of artists of revolutionary russia),5,72.2083333333333333,10
phases,5,66.5,8
bolognese school,5,65.75,2
group of seven,5,65.3684210526315789,7
sienese school,5,63.4,4
utagawa school,5,62.6,1
new british sculpture,5,52.1666666666666667,3
neue wilde,5,51.8333333333333333,2
gruppo degli otto,4,82.8181818181818182,9
san francisco school,4,80,2
novecento italiano,4,78.9411764705882353,10
forma 1,4,78.8571428571428571,4
painters of the sacred heart,4,76,1
zen 49,4,74.3333333333333333,7
ashcan school,4,73,3
glasgow school,4,72.125,6
bmpt,4,71.3333333333333333,3
seville school,4,68.5,4
donkey's tail (osliniy khvost),4,68.2702702702702703,22
frente,4,67.6,7
lacerba,4,66.3793103448275862,13
macchiaioli,4,65.2727272727272727,6
milan futurist group,4,64.76,13
lombard school,4,60.4,4
kyiv drawing school of murashko,4,59.4,4
delft school,4,47.25,2
utrecht school,4,44,3
el paso,3,87.2222222222222222,7
armos,3,84.875,12
newlyn school,3,84.75,4
school of london,3,82.125,5
blue rose,3,81.5,12
continuità,3,79.5,5
camden town group,3,78.7,9
dau al set,3,78,5
four arts,3,76.5882352941176471,12
american barbizon school,3,76.125,5
kanō school,3,75.3333333333333333,1
mono-ha,3,73.5,4
mexican mural renaissance,3,72.1111111111111111,11
munich secession,3,71.6666666666666667,8
nouveaux plasticiens,3,71.5,6
four abstract classicists,3,69.2,8
tile club,3,67.75,6
cos cob art colony,3,64,4
art & language,3,62.25,2
