artist_name,birth_year,birth_year_key,place_name
Bracha L. Ettinger,1948,1948,Tel Aviv
William H. Johnson,1901,1901,Florence
Alexey  Bogolyubov,1824,1824,Pomeranye
O. Louis Guglielmi,1906,1906,Cairo
Mikalojus Konstantinas Ciurlionis,1875,1875,Varėna
Edward E. Simmons,1852,1852,Concord
Robert G. Harris,1911,1911,Kansas City
Friedrich Vordemberge-Gildewart,1899,1899,Osnabrück
Edward R. Taylor,1838,1838,Unknown
Carl-Ludwig Johann Christineck,1732,1732,Unknown
Friedrich Schroder-Sonnenstern,1892,1892,Sovetsk
D. Jeffrey Mims,1954,1954,North Carolina
Nuno Gonçalves,1425,1425,Unknown
Alexander Khvostenko-Khvostov,1885,1885,"Borisovka, Borisovsky District, Belgorod Oblast"
Jose Ferraz de Almeida Junior,1850,1850,Itu
Frank W. Benson,1858,1858,San Jose
Maria Helena Vieira da Silva,1908,1908,Lisbon
Jean-Baptiste-Simeon Chardin,1699,1699,Paris
Eleanor Fortescue-Brickdale,1872,1872,London
Alexander Bazhbeuk-Melikyan,1891,1891,Tbilisi
Georges Ribemont-Dessaignes,1884,1884,Montpellier
Alexandre-Jacques Chantron,1842,1842,Unknown
Manuel Rodriguez de Guzman,1818,1818,Seville
Rudolf Schweitzer-Cumpana,1886,1886,Pitești
Andre Dunoyer de Segonzac,1884,1884,Boussy-Saint-Antoine
Ivan-Valentyn Zadorozhny,1921,1921,Rzhyshchiv
Anna Ostroumova-Lebedeva,1871,1871,Saint Petersburg
Cristovao de Figueiredo,1450,1450,Unknown
Juan Carreno de Miranda,1614,1614,Avilés
Jorge González Camarena,1908,1908,Guadalajara
Aladar Korosfoi-Kriesch,1863,1863,Buda
Giuseppe Pinot-Gallizio,1902,1902,Alba
M.F. Husain,1915,1915,Pandharpur
Nikolay Bogdanov-Belsky,1868,1868,Belsky County
Iain Baxter&,1936,1936,Middlesbrough
Gerhard von Graevenitz,1934,1934,Schilde
Jean-Claude Silbermann,1935,1935,Paris
Julius LeBlanc Stewart,1855,1855,Philadelphia
Johann Anton de Peters,1725,1725,Cologne
Pierre-Narcisse Guerin,1774,1774,Paris
Carlos Saenz de Tejada,1897,1897,Tangier
Albert Rafols-Casamada,1923,1923,Barcelona
Włodzimierz Zakrzewski,1916,1916,Saint Petersburg
André Lhote,1885,1885,Bordeaux
Karl Schmidt-Rottluff,1884,1884,Rottluff
Andres de Santa Maria,1860,1860,Bogotá
Theo van Rysselberghe,1862,1862,Ghent
Fernando García Ponce,1933,1933,Mérida
Inigo Manglano-Ovalle,1961,1961,Madrid
Richard Pousette-Dart,1916,1916,Saint Paul
Ethel Léontine Gabain,1883,1883,Le Havre
Charles-Amable Lenoir,1860,1860,Châtelaillon-Plage
Francisco de Zurbaran,1598,1598,Fuente de Cantos
Pieter van Hanselaere,1786,1786,Ghent
Jean-Honore Fragonard,1732,1732,Grasse
Ion Theodorescu-Sion,1882,1882,Ianca
Janos Mattis-Teutsch,1884,1884,Brașov
Apollinary Goravsky,1833,1833,Novyja Nabarki
Edouard Debat-Ponsan,1847,1847,Toulouse
Thalia Flora-Karavia,1871,1871,Siatista
Gosta Adrian-Nilsson,1884,1884,Lund
Horacio Garcia-Rossi,1929,1929,Buenos Aires
Herrad of Landsberg,1125,1125,Unknown
Hildegard of Bingen,1098,1098,Bermersheim vor der Höhe
Juan de Valdes Leal,1622,1622,Seville
Juriaen van Streeck,1632,1632,Amsterdam
Jean-Pierre Raynaud,1947,1947,Unknown
Giovanni da Milano,1325,1325,Valmorea
Anne-Louis Girodet,1767,1767,Montargis
Nicholas of Verdun,1130,1130,Verdun
Georges de la Tour,1593,1593,Vic-sur-Seille
Consuelo Hernández,1952,1952,Colombia
Jozsef Rippl-Ronai,1861,1861,Kaposvár
Conrad Marca-Relli,1913,1913,Boston
Andre-Pierre Arnal,1939,1939,Nîmes
Laszlo Moholy-Nagy,1895,1895,Bácsborsód
Giuseppe de Nittis,1846,1846,Barletta
Jose de Guimaraes,1939,1939,Guimarães
Rudolf de Crignis,1948,1948,Winterthur
Allan D'Arcangelo,1930,1930,Buffalo
Paul Émile Chabas,1869,1869,Nantes
Jean-Michel Atlan,1913,1913,Constantine
Robert MacPherson,1944,1944,Lakewood
Francesco Ribalta,1565,1565,Solsona
Bernard Van Orley,1488,1488,Brussels metropolitan area
Jean-Paul Jerome,1928,1928,Montreal
Beatriz González,1932,1932,Bucaramanga
Le Nain brothers,1600,1600,Picardy
Josefa de Obidos,1630,1630,Seville
Jan van Hemessen,1500,1500,Hemiksem
Jean-Leon Gerome,1824,1824,Vesoul
Vilmos Aba-Novak,1894,1894,Budapest
Jeanne Hébuterne,1898,1898,Meaux
Philip de Laszlo,1869,1869,Pest
Fabio de Sanctis,1931,1931,Rome
Pierre Tal-Coat,1905,1905,Clohars-Carnoët
Bertold Löffler,1874,1874,Liberec
John McLaughlin,1942,1942,Doncaster
Arkhyp Kuindzhi,1841,1841,Mariupol uyezd
Kees van Dongen,1877,1877,Delfshaven
Angelo de Sousa,1938,1938,Maputo
Willem van Genk,1927,1927,Voorburg
Gustave de Smet,1877,1877,Ghent
Eugene de Blaas,1843,1843,Albano Laziale
Eugène Burnand,1850,1850,Moudon
Carsten Holler,1961,1961,City of Brussels
Bram van Velde,1895,1895,Zoeterwoude-Dorp
J.M.W. Turner,1775,1775,London
Joseph DeCamp,1858,1858,Cincinnati
John O'Connor,1920,1920,Philadelphia
Isaac Israels,1865,1865,Amsterdam
Louise Abbéma,1853,1853,Étampes
Ha Chong-Hyun,1935,1935,Unknown
Luca di Tommé,1330,1330,Siena
Teodor Harșia,1914,1914,Filpișu Mare
Wen-Ying Tsai,1928,1928,Xiamen
Erol Akyavaş,1932,1932,Ankara
Lee Quinones,1960,1960,Ponce
Pushpamala N,1956,1956,Bangalore
Adolf Wölfli,1864,1864,Bowil
Hans am Ende,1864,1864,Trier
Arthur Nísio,1906,1906,Curitiba
LeRoy Neiman,1921,1921,Saint Paul
Chu Teh-Chun,1920,1920,Baytu
Kmetty János,1889,1889,Miskolc
Josef Capek,1887,1887,Hronov
Ayse Erkmen,1949,1949,Istanbul
Park Seo-Bo,1931,1931,Unknown
Carl Holsøe,1863,1863,Aarhus
Boris Bućan,1947,1947,Unknown
Tony DeLap,1927,1927,Oakland
Zao Wou-Ki,1920,1920,Beijing
Léo Schnug,1878,1878,Strasbourg
Jay DeFeo,1929,1929,Hanover
SM Sultan,1923,1923,Narail District
Marevna (Marie Vorobieff),1892,1892,Cheboksary
Martín Rico y Ortega,1833,1833,Madrid
J. C. Leyendecker,1874,1874,Montabaur
Elsa von Freytag-Loringhoven,1874,1874,Świnoujście
Zdzislaw Beksinski,1929,1929,Sanok
Giuseppe Mazzolini,1806,1806,Camerino
Luis de Madrazo y Kuntz,1825,1825,Madrid
Guilherme de Santa-Rita,1889,1889,Lisbon
William Russell Flint,1880,1880,Edinburgh
Jean Lecomte du Nouÿ,1842,1842,Paris
Adolf Hirémy-Hirschl,1860,1860,Timișoara
Eduard von Grützner,1846,1846,Karłowice Wielkie
Adam van der Meulen,1632,1632,City of Brussels
M. H. Maxy,1895,1895,Brăila
Vahram Gayfedjian,1879,1879,Georgia
Grégoire Michonze,1902,1902,Chișinău
Bart van der Leck,1876,1876,Utrecht
Michael Bell,1936,1936,County Louth
JCJ Vanderheyden,1928,1928,'s-Hertogenbosch
Antonio Povedano,1918,1918,Sabariego
Arthur Pan,1894,1894,Unknown
A.Y. Jackson,1882,1882,Montreal
Chang Dai-chien,1899,1899,Unknown
Félix Del Marle,1889,1889,Pont-sur-Sambre
Roger Bissière,1886,1886,Villeréal
Jacques Hérold,1910,1910,Piatra Neamț
M.C. Escher,1898,1898,Leeuwarden
Hong Song-dam,1955,1955,Unknown
Mestre Ataíde,1762,1762,"Mariana, Minas Gerais"
Li Yuan-chia,1929,1929,Lingui District
José Luzán,1710,1710,Zaragoza
António de Carvalho da Silva Porto,1850,1850,Porto
Jean-Joseph-Xavier Bidauld,1758,1758,Carpentras
Pieter Saenredam,1597,1597,Assendelft
Shin Yoon-bok,1758,1758,Joseon
Jindrich Styrsky,1899,1899,Dolní Čermná
George Philip Reinagle,1802,1802,London
Ralph Blakelock,1847,1847,New York City
Frances Macdonald,1873,1873,Kidsgrove
Pellizza da Volpedo,1868,1868,Volpedo
Raimundo de Madrazo,1841,1841,Rome
Elenore Abbott,1875,1875,Lincoln
C. R. W. Nevinson,1889,1889,London
Il Sassetta (Stefano di Giovanni),1374,1374,Verona
Rafael García Hispaleto (El Hispaleto),1833,1833,Seville
Alexei Korzukhin,1835,1835,Uktussky plant
Charles-Andre van Loo (Carle van Loo),1705,1705,Nice
Lubo Kristek,1943,1943,Brno
Ding Yi,1750,1750,Unknown
Phase 2,1955,1955,Unknown
TRACY 168,1958,1958,New York City
