artist1_name,birth_year1,birth_year1_key,artist2_name,relationship_type
Edward E. Simmons,1852,1852,Jules Joseph Lefebvre,Pupil
Edward E. Simmons,1852,1852,Gustave Boulanger,Pupil
Edward E. Simmons,1852,1852,Childe Hassam,Friend
Alexander Khvostenko-Khvostov,1885,1885,Aleksandra Ekster,Pupil
Alexander Khvostenko-Khvostov,1885,1885,Victor Palmov,Friend
Alexander Khvostenko-Khvostov,1885,1885,David Burliuk,Friend
Alexander Khvostenko-Khvostov,1885,1885,Oleksandr Bogomazov,Friend
Alexander Khvostenko-Khvostov,1885,1885,Vladimir Tatlin,Friend
Alexander Khvostenko-Khvostov,1885,1885,Mykhailo Boychuk,Friend
Alexander Khvostenko-Khvostov,1885,1885,Vadym Meller,Friend
Frank W. Benson,1858,1858,Johannes Vermeer,Influenced By
Frank W. Benson,1858,1858,Diego Velazquez,Influenced By
Frank W. Benson,1858,1858,Claude Monet,Influenced By
Frank W. Benson,1858,1858,Winslow Homer,Influenced By
Frank W. Benson,1858,1858,Edmund Charles Tarbell,Friend
Frank W. Benson,1858,1858,Robert Lewis Reid,Friend
Frank W. Benson,1858,1858,Abbott Handerson Thayer,Friend
Frank W. Benson,1858,1858,Willard Metcalf,Friend
Alexandre-Jacques Chantron,1842,1842,William-Adolphe Bouguereau,Pupil
Alexandre-Jacques Chantron,1842,1842,William-Adolphe Bouguereau,Influenced By
Andre Dunoyer de Segonzac,1884,1884,Marc Chagall,Teacher
Ivan-Valentyn Zadorozhny,1921,1921,Anatol Petrytsky,Pupil
Ivan-Valentyn Zadorozhny,1921,1921,Sergiy Grigoriev,Pupil
Anna Ostroumova-Lebedeva,1871,1871,Ilya Repin,Pupil
Pierre-Narcisse Guerin,1774,1774,Théodore Géricault,Teacher
Pierre-Narcisse Guerin,1774,1774,Eugene Delacroix,Teacher
Narcisse-Virgilio Diaz,,-999999,Theodore Rousseau,Influenced By
Narcisse-Virgilio Diaz,,-999999,Jean-Francois Millet,Friend
André Lhote,1885,1885,Tamara de Lempicka,Teacher
André Lhote,1885,1885,Georg Pauli,Teacher
André Lhote,1885,1885,Dorrit Black,Teacher
Andres de Santa Maria,1860,1860,Jean-Francois Millet,Influenced By
Andres de Santa Maria,1860,1860,Gustave Courbet,Influenced By
Fernando García Ponce,1933,1933,Kurt Schwitters,Influenced By
Fernando García Ponce,1933,1933,Vincent van Gogh,Influenced By
Fernando García Ponce,1933,1933,Juan Gris,Influenced By
Francisco de Zurbaran,1598,1598,Francisco Pacheco,Pupil
Francisco de Zurbaran,1598,1598,Caravaggio,Influenced By
Francisco de Zurbaran,1598,1598,Gustave Courbet,Influenced On
Pieter van Hanselaere,1786,1786,Jacques-Louis David,Pupil
Juriaen van Streeck,1632,1632,Willem Kalf,Influenced By
Giovanni da Milano,1325,1325,Giotto,Influenced By
Georges de la Tour,1593,1593,Caravaggio,Influenced By
Laszlo Moholy-Nagy,1895,1895,Man Ray,Influenced By
Laszlo Moholy-Nagy,1895,1895,Kazimir Malevich,Friend
