artist_name,birth_year,nationality,citizenship,gender,death_year,career_start_year,career_end_year,birth_year_key
Bracha L. Ettinger,1948,"French, Jewish, Israeli",Israel,female,,1991,2009,1948
William H. Johnson,1901,American,United States of America,male,1970,1923,1946,1901
Alexey  Bogolyubov,1824,Russian,Russian Empire,male,1896,1845,1889,1824
O. Louis Guglielmi,1906,"American, Egyptian",United States of America,male,1956,1931,1955,1906
Mikalojus Konstantinas Ciurlionis,1875,,Russian Empire,male,1911,1905,1905,1875
Edward E. Simmons,1852,American,United States of America,male,1931,1884,1930,1852
Robert G. Harris,1911,American,United States of America,male,2007,1935,1961,1911
Friedrich Vordemberge-Gildewart,1899,German,Kingdom of the Netherlands,male,1962,1925,1968,1899
Edward R. Taylor,1838,British,,male,1911,1865,1911,1838
Carl-Ludwig Johann Christineck,1732,"Russian, German",Russia,male,1792,1760,1786,1732
Friedrich Schroder-Sonnenstern,1892,German,Germany,male,1982,1948,1965,1892
D. Jeffrey Mims,1954,American,United States of America,male,,1954,1997,1954
Nuno Gonçalves,1425,Portuguese,Kingdom of Portugal,male,1492,1450,1490,1425
Alexander Khvostenko-Khvostov,1885,"Russian, Ukrainian",Russian Empire,male,1968,1917,1954,1885
Jose Ferraz de Almeida Junior,1850,Brazilian,Brazil,male,1899,1850,1899,1850
Frank W. Benson,1858,American,United States of America,male,1911,1884,1924,1858
Maria Helena Vieira da Silva,1908,"French, Portuguese",Portugal,female,1992,1932,1995,1908
Jean-Baptiste-Simeon Chardin,1699,,France,male,1779,1728,1753,1699
Eleanor Fortescue-Brickdale,1872,British,United Kingdom,female,1945,1900,1906,1872
Alexander Bazhbeuk-Melikyan,1891,Armenian,Russian Empire,male,1966,1927,1964,1891
Georges Ribemont-Dessaignes,1884,French,France,male,1974,1905,1920,1884
Alexandre-Jacques Chantron,1842,French,France,male,1918,1900,1918,1842
Manuel Rodriguez de Guzman,1818,Spanish,Spain,male,1867,1846,1865,1818
Rudolf Schweitzer-Cumpana,1886,Romanian,Romania,male,1975,1919,1973,1886
Andre Dunoyer de Segonzac,1884,French,France,male,1974,1905,1970,1884
Ivan-Valentyn Zadorozhny,1921,Ukrainian,,male,1988,1976,1988,1921
Anna Ostroumova-Lebedeva,1871,Russian,Russian Empire,female,1955,1904,1924,1871
Cristovao de Figueiredo,1450,Portuguese,Kingdom of Portugal,male,1540,1520,1530,1450
Juan Carreno de Miranda,1614,Spanish,Spain,male,1685,1656,1684,1614
Jorge González Camarena,1908,Mexican,Mexico,male,1980,1969,1980,1908
Aladar Korosfoi-Kriesch,1863,Hungarian,Hungary,male,1920,1894,1918,1863
Giuseppe Pinot-Gallizio,1902,Italian,Kingdom of Italy,male,1964,1955,1963,1902
M.F. Husain,1915,,India,male,2011,1950,1983,1915
Nikolay Bogdanov-Belsky,1868,Russian,Russian Empire,male,1945,1889,1941,1868
Iain Baxter&,1936,"British, Canadian",United Kingdom,male,,1965,2008,1936
Gerhard von Graevenitz,1934,German,Germany,male,1983,1959,1973,1934
Jean-Claude Silbermann,1935,French,France,male,,1977,2008,1935
Julius LeBlanc Stewart,1855,"French, American",United States of America,male,1919,1875,1918,1855
Johann Anton de Peters,1725,German,Germany,male,1795,1775,1775,1725
Pierre-Narcisse Guerin,1774,French,France,male,1833,1793,1819,1774
Carlos Saenz de Tejada,1897,Spanish,Spain,male,1958,1920,1957,1897
Albert Rafols-Casamada,1923,Spanish,Spain,male,2009,1858,2004,1923
Włodzimierz Zakrzewski,1916,Polish,Poland,male,1992,1950,1983,1916
Narcisse-Virgilio Diaz,,"French, Spanish",,,,1850,1876,-999999
André Lhote,1885,French,France,male,1962,1908,1959,1885
Karl Schmidt-Rottluff,1884,German,Germany,male,1976,1906,1969,1884
Andres de Santa Maria,1860,Colombian,Colombia,male,1945,1894,1942,1860
Theo van Rysselberghe,1862,Belgian,Belgium,male,1926,1880,1926,1862
Fernando García Ponce,1933,Mexican,Mexico,male,1987,1951,1986,1933
Inigo Manglano-Ovalle,1961,,Spain,male,,2013,2013,1961
Richard Pousette-Dart,1916,American,United States of America,male,1992,1930,1992,1916
Ethel Léontine Gabain,1883,"French, British",United Kingdom,female,1950,1930,1944,1883
Charles-Amable Lenoir,1860,,France,male,1926,,,1860
