artist_name,birth_year,birth_year_key,school_name,time_period
Alexey  Bogolyubov,1824,1824,peredvizhniki (society for traveling art exhibitions),
Edward E. Simmons,1852,1852,ten (ten american painters),
Edward E. Simmons,1852,1852,st ives school,
Friedrich Vordemberge-Gildewart,1899,1899,abstraction-création,
Friedrich Vordemberge-Gildewart,1899,1899,cercle et carré,
Friedrich Vordemberge-Gildewart,1899,1899,degenerate art,
Edward R. Taylor,1838,1838,birmingham school,
Alexander Khvostenko-Khvostov,1885,1885,armu (association of revolutionary masters of ukraine),
Frank W. Benson,1858,1858,ten (ten american painters),
Eleanor Fortescue-Brickdale,1872,1872,pre-raphaelite brotherhood,
Georges Ribemont-Dessaignes,1884,1884,section d'or (puteaux group),
Manuel Rodriguez de Guzman,1818,1818,seville school,
Rudolf Schweitzer-Cumpana,1886,1886,balchik school,
Anna Ostroumova-Lebedeva,1871,1871,four arts,
Anna Ostroumova-Lebedeva,1871,1871,mir iskusstva (world of art),
Aladar Korosfoi-Kriesch,1863,1863,gödöllő art colony,
Nikolay Bogdanov-Belsky,1868,1868,peredvizhniki (society for traveling art exhibitions),
Gerhard von Graevenitz,1934,1934,zero,
Narcisse-Virgilio Diaz,,-999999,barbizon school,
André Lhote,1885,1885,section d'or (puteaux group),
Karl Schmidt-Rottluff,1884,1884,die brücke (the bridge),
Karl Schmidt-Rottluff,1884,1884,degenerate art,
Theo van Rysselberghe,1862,1862,les xx,
Fernando García Ponce,1933,1933,la ruptura (breakaway movement),
Richard Pousette-Dart,1916,1916,irascibles,
Richard Pousette-Dart,1916,1916,new york school,
Ion Theodorescu-Sion,1882,1882,balchik school,
Thalia Flora-Karavia,1871,1871,munich school (σχολή του μονάχου),
Juriaen van Streeck,1632,1632,dutch school,
Giovanni da Milano,1325,1325,lombard school,
Nicholas of Verdun,1130,1130,mosan school,
Georges de la Tour,1593,1593,caravaggisti,
Jozsef Rippl-Ronai,1861,1861,les nabis,
Conrad Marca-Relli,1913,1913,new york school,
Andre-Pierre Arnal,1939,1939,supports/surfaces,
Laszlo Moholy-Nagy,1895,1895,bauhaus,
Laszlo Moholy-Nagy,1895,1895,degenerate art,
Giuseppe de Nittis,1846,1846,macchiaioli,
Rudolf de Crignis,1948,1948,radical painting group,
Jean-Michel Atlan,1913,1913,cobra,
Jean-Michel Atlan,1913,1913,école de paris,
