title,artwork_date,artist_name,birth_year,birth_year_key
"Ferdinandsbrücke Project, Vienna, Austria (Elevation, preliminary version)",1896,Otto Wagner,1841,1841
"City of Music, National Superior Conservatory of Music and Dance, Paris, France, View from interior courtyard",1987,Christian de Portzamparc,1944,1944
"Villa project, outside Vienna, Austria (Elevation)",1903,Emil Hoppe,1876,1876
"The Manhattan Transcripts Project, New York, New York, Introductory panel to Episode 1: The Park",1980,Bernard Tschumi,1944,1944
"Memorial to the Six Million Jewish Martyrs, project, New York City, New York, Perspective of central pier",1968,Louis I. Kahn,1901,1901
"Royal Hunting Tent, project, Exterior perspective",1900,Marcel Kammerer,1878,1878
"House in Krems, project, Krems, Austria, Elevation",1905,Otto Schönthal,1878,1878
"Concert Hall Project, Dresden, Germany (Interior perspective of preliminary scheme)",1918,Hans Poelzig,1869,1869
"Earth-Cloud House, project",1970,Raimund Abraham,1933,1933
"House IV Project, Falls Village, Connecticut (Multiple axonometrics)",1975,Peter Eisenman,1932,1932
"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective",1987,Rem Koolhaas,1944,1944
"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective",1987,Madelon Vriesendorp,1945,1945
"Pedestrian City project, Hypostyle Courtyard (Structural details)",1979,Roger C. Ferri,1949,1949
"Fargo-Moorhead Cultural Center Bridge, project, Fargo, North Dakota and Moorhead, Minnesota, South elevation",1978,Michael Graves,1934,1934
"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section",1974,Gianni Braghieri,1945,1945
"Villa Snellman, Djursholm, Sweden, Elevation of garden facade, sketch",1917,Erik Gunnar Asplund,1885,1885
"Palais de la Découverte Project, Paris, France (Elevation)",1938,Paul Nelson,1895,1895
"Palais de la Découverte Project, Paris, France (Elevation)",1938,Oscar Nitzchke,1900,1900
"Palais de la Découverte Project, Paris, France (Elevation)",1938,Frantz Jourdain,1847,1847
"Gymnasium-Bridge, project, New York City, New York, Perspective",1977,Steven Holl,1947,1947
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Interior perspectives",1935,Erich Mendelsohn,1887,1887
Helium Bridge Project,1958,Paolo Soleri,1919,1919
"Residence for Herbert Green, Studies for an Unfolded Modular House, Cherry Hill, Pennsylvania, Perspective",1989,Paul Rudolph,1918,1918
"Arcadia Peninsula Housing, project, Revised version: exterior elevation",1979,Peter Cook,1936,1936
"Slow House Project, North Haven, New York, Plan of lower-level and sections",1989,Elizabeth Diller,1954,1954
"Slow House Project, North Haven, New York, Plan of lower-level and sections",1989,Ricardo Scofidio,1935,1935
"Slow House Project, North Haven, New York, Plan of lower-level and sections",1989,Diller + Scofidio,1981,1981
"Study for an Office Building, project, Tokyo, Japan, Exterior perspective",1980,Fumihiko Maki,1928,1928
"Egg of Columbus Circle project, New York, New York (Axonometric)",1975,Zoe Zenghelis,1937,1937
"Egg of Columbus Circle project, New York, New York (Axonometric)",1975,Elia Zenghelis,1937,1937
"Exhibition ""Mario Bellini: Designer."", The Museum of Modern Art, New York, 1987, Installation plan",1987,Mario Bellini,1935,1935
"City Hall, project, North Canton, Ohio, Perspective sketch",1965,Venturi and Rauch,1964,1964
"City Hall, project, North Canton, Ohio, Perspective sketch",1965,Robert Venturi,1925,1925
"City Hall, project, North Canton, Ohio, Perspective sketch",1965,John Rauch,1930,1930
"House, Northern Delaware, Preliminary study of west elevation",1978,Denise Scott Brown,1931,1931
"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows",1981,Venturi,1980,1980
