artist,artistLabel,nationalityLabel,citizenshipLabel,genderLabel,birthDate,deathDate,birthPlaceLabel,deathPlaceLabel,movementLabel,occupationLabel,paintingSchoolLabel,influencedByLabel,influencedOnLabel,pupilsLabel,teachersLabel,friendsLabel
http://www.wikidata.org/entity/Q100382344,Juan Sánchez Cotán,nan,nan,male,nan,nan,nan,nan,nan,painter,nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q100605005,Joan Mates,nan,nan,male,nan,1585-01-01T00:00:00Z,nan,nan,nan,painter,nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q1008996,Hugo Gellert,"['Hungary', 'United States']","['Hungary', 'United States']",male,1892-05-03T00:00:00Z,1985-12-09T00:00:00Z,Budapest,Freehold Township,nan,"['graphic artist', 'caricaturist', 'painter', 'illustrator']",nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q100933905,Pedro Millán,nan,nan,male,nan,nan,nan,nan,nan,painter,nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q1009528,Georges Valmier,France,France,male,"['1885-04-10T00:00:00Z', '1885-04-11T00:00:00Z']",1937-03-25T00:00:00Z,Angoulême,Montmartre,Cubism,painter,nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q1009816,Gerhard Munthe,Norway,Norway,male,1849-07-19T00:00:00Z,1929-01-15T00:00:00Z,Heradsbygd,Lysaker,nan,"['textile artist', 'painter', 'illustrator']",nan,nan,nan,Ragnhild Thrane,nan,nan
http://www.wikidata.org/entity/Q1010603,Giorgio Ghisi,Italy,Italy,male,1520-01-01T00:00:00Z,1582-12-15T00:00:00Z,Mantua,Mantua,nan,"['copper engraver', 'painter', 'printmaker']",nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q101242654,Carmela Gross,Brazil,Brazil,female,1946-02-16T00:00:00Z,nan,São Paulo,nan,nan,"['ceramicist', 'artist', 'visual artist', 'sculptor', 'printmaker', 'painter', 'university teacher', 'engraver']",nan,nan,nan,nan,"['University of São Paulo', 'Escola de Comunicações e Artes da Universidade de São Paulo']","['Departamento de Artes Plásticas da Universidade de São Paulo', 'University of São Paulo', 'Escola de Comunicações e Artes da Universidade de São Paulo']"
http://www.wikidata.org/entity/Q102012841,David Scott,New Zealand,New Zealand,male,1849-01-01T00:00:00Z,1920-01-01T00:00:00Z,nan,nan,nan,"['painter', 'framer']",nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q102071,Tove Jansson,Finland,Finland,female,1914-08-09T00:00:00Z,2001-06-27T00:00:00Z,Helsinki,Helsinki,nan,"['cartoonist', 'caricaturist', 'illustrator', 'painter', 'writer', ""children's writer""]",nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q102108,Alan Lee,United Kingdom,United Kingdom,male,"['1947-08-20T00:00:00Z', '1947-01-01T00:00:00Z']",nan,London,nan,nan,"['artist', 'actor', 'visual artist', 'illustrator', 'painter', 'psychiatrist']",nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q102241637,Joan Brown,nan,nan,female,1945-01-01T00:00:00Z,nan,Oklahoma,nan,nan,"['painter', 'teacher', 'illustrator']",nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q102272,Jan van Eyck,Southern Netherlands,Southern Netherlands,male,1390-01-01T00:00:00Z,"['1441-06-09T00:00:00Z', '1441-07-18T00:00:00Z']",Maaseik,Bruges,"['Early Netherlandish painting', 'Northern Renaissance']","['architectural draftsperson', 'draftsperson', 'illuminator', 'painter', 'architect']",nan,nan,nan,nan,"['John III, Duke of Bavaria', 'Philip III the Good']",nan
http://www.wikidata.org/entity/Q1025163,Sattar Bahlulzade,"['Soviet Union', 'Russian Empire', 'Azerbaijan Democratic Republic']","['Soviet Union', 'Russian Empire', 'Azerbaijan Democratic Republic']",male,1909-12-15T00:00:00Z,1974-10-13T00:00:00Z,"Əmircan, Baku",Moscow,impressionism,painter,nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q1025737,Cagnaccio di San Pietro,Kingdom of Italy,Kingdom of Italy,male,1897-01-14T00:00:00Z,1946-05-29T00:00:00Z,Desenzano del Garda,Venice,nan,painter,nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q10266600,Diogo Teixeira,Kingdom of Portugal,Kingdom of Portugal,male,1540-01-01T00:00:00Z,1612-01-01T00:00:00Z,Lisbon,nan,nan,painter,nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q10272372,Emeric Marcier,Brazil,Brazil,male,1916-07-06T00:00:00Z,1990-09-01T00:00:00Z,Cluj-Napoca,Paris,nan,painter,nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q10272463,Emmerico Nunes,"['Portugal', 'Kingdom of Portugal']","['Portugal', 'Kingdom of Portugal']",male,1888-01-06T00:00:00Z,1968-01-18T00:00:00Z,Lisbon,nan,nan,painter,nan,nan,nan,nan,nan,nan
http://www.wikidata.org/entity/Q10278185,Eugênio Latour,Brazil,Brazil,male,1874-03-15T00:00:00Z,1942-10-02T00:00:00Z,Rio de Janeiro,Rio de Janeiro,nan,painter,nan,nan,nan,nan,nan,nan
